MFI_ID	BIC	HOST	NAME	BOX	ADDRESS	POSTAL	CITY	CATEGORY	DOMICILE	HEAD_NAME	HEAD_ID	RESERVE	EXEMPT
DE04097	RZOODE77XXX	DE	Raiffeisenlandesbank Oberösterreich Aktiengesellschaft Zweigniederlassung Süddeutschland	21 12	Dr. Emil-Brichta-Straße 9	94036	Passau	Credit Institution	AT	Raiffeisenlandesbank Oberösterreich Aktiengesellschaft	AT34000	Yes	No
DE01442	GENODE51RGY	DE	Rheingauer Volksbank eingetragene Genossenschaft	12 65	Winkeler Straße 64a	65366	Geisenheim, Rheingau	Credit Institution				Yes	No
DE03282	GENODED1RKI	DE	Ritterschaftliches Kreditinstitut Stade	3151	Archivstr. 3-5	21682	Stade	Credit Institution				Yes	No
DE05342	GENODED1WND	DE	Rosbacher Raiffeisenbank eingetragene Genossenschaft	1128	Berliner Platz 1	51570	Windeck, Sieg	Credit Institution				Yes	No
DE06679	ROVRDE21XXX	DE	Rostocker Volks- und Raiffeisenbank eG	102041	Buchbinderstr. 19	18055	Rostock	Credit Institution				Yes	No
DE02185	GENODEF1POC	DE	Rottaler Raiffeisenbank eG	1148	Indlinger Str. 4	94060	Pocking	Credit Institution				Yes	No
DE01326	GENODEF1EGY	DE	Rottaler Volksbank - Raiffeisenbank eG	1170	Carcassonner Platz 1	84307	Eggenfelden	Credit Institution				Yes	No
DE01472	GENODE51RUZ	DE	Rüsselsheimer Volksbank e.G.	17 53	Bahnhofstraße 15 - 17	65428	Rüsselsheim	Credit Institution				Yes	No
DE05732	PULSDE5WXXX	DE	S Broker AG & Co. KG	17 29	Karl-Bosch-Straße 10	65203	Wiesbaden	Credit Institution				Yes	No
DE00013	ESSEDE5FXXX	DE	SEB AG	11 16 52	Stephanstraße 14 - 16	60313	Frankfurt am Main	Credit Institution				Yes	No
DE05694	SECGDEFFXXX	DE	SECB Swiss Euro Clearing Bank GmbH		Solmsstraße 83	60486	Frankfurt am Main	Credit Institution				Yes	No
DE05627	SHBKDEFFXXX	DE	SHINHAN BANK EUROPE GmbH		Neue Mainzer Straße 75	60311	Frankfurt am Main	Credit Institution				Yes	No
DE07817	SIBSDEHHXXX	DE	SIGNAL IDUNA Bauspar Aktiengesellschaft	60 09 09	Kapstadtring 5	22297	Hamburg	Credit Institution				Yes	No
DE01768	SPBKDEHHXXX	DE	SPARDA-BANK HAMBURG eG	50 04 48	Präsident-Krahn-Straße 16 - 17	22765	Hamburg	Credit Institution				Yes	No
DE01766	SPNUDE7NXXX	DE	SPARDA-BANK NÜRNBERG eG	4855	Eilgutstraße 9	90443	Nürnberg	Credit Institution				Yes	No
DE00665	HELADEF1HAN	DE	SPARKASSE HANAU	2143	Am Markt 1	63450	Hanau	Credit Institution				Yes	No
DE00973	WELADED1SOS	DE	SPARKASSE SOEST - Zweckverbandssparkasse der Stadt Soest und der Gemeinden Bad Sassendorf, Lippetal, Möhnesee und Welver -	2064	Puppenstraße 7-9	59494	Soest, Westf.	Credit Institution				Yes	No
DE06212	NOLADE21HAL	DE	Saalesparkasse		Rathausstr. 5	06108	Halle, Saale	Credit Institution				Yes	No
