Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung;;;;;
107;13051052;SPK Hansestadt Stralsund;Stralsund;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
108;13061008;Volksbank Wolgast eG;Wolgast;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
109;13061028;Volksbank Greifswald eG;Greifswald;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
110;13061078;Volks- und Raiffeisenbank eG Wismar;Wismar;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
111;13061078;VRB eG, Wismar;Wismar;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;16.03.2009;;;;;
112;13061108;Volksbank Ribnitz-Damgarten eG;Ribnitz-Damgarten;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
113;13061128;Raiffeisenbank Bad Doberan eG;Bad Doberan;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
114;13090000;Rostocker Volks- und Raiffeisenbank eG;Rostock;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
115;13091054;Stralsunder Volksbank eG;Stralsund;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
116;14051000;SPK.MECKLENBURG-NORDWEST;Wismar;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
117;14051362;SPARKASSE PARCHIM-LÜBZ;Parchim-Lübz;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
118;14051462;SPARKASSE SCHWERIN;Schwerin;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
119;14052000;KSK LUDWIGSLUST;Ludwigslust;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
120;14061308;Volks- und Raiffeisenbank Güstrow eG;Güstrow;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
121;14091464;VR-Bank Schwerin eG;Schwerin;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
122;15050100;Müritz-Sparkasse;Müritz;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
123;15050200;SK Neubrandenburg-Demmin;Demmin;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
124;15050400;Sparkasse Uecker-Randow;Uecker-Randow;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
125;15050500;Sparkasse Vorpommern;Greifswald;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
126;15051732;SPK MECKLENBURG-STRELITZ;Mecklenburg-Strelitz;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
127;15061618;Raiffeisenbank Waren eG;Waren ;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
128;15061618;Raiffeisenbank Waren eG;Neubrandenburg, Waren;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;16.03.2009;;;;;
129;15061638;Raiffeisenbank Anklam eG;Anklam;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
130;15061658;Raiffeisenbank Pasewalk-Strasburg eG;Pasewalk-Strasburg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
131;15061698;Raiffeisenbank Malchin eG;Malchin;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
132;15091674;Volksbank Demmin eG;Demmin;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
133;15091704;Volksbank Uckermark eG;Uckermark;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
134;16010111;SEB AG;Potsdam;eigenes Rechenzentrum;BdB;;193.243.184.115;2.0.1;;ja;;;;;;;;;;;;19.09.2005;;;;;
135;16050000;MITTELBRANDENBURG.SPK;Potsdam;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
136;16050101;SPARKASSE PRIGNITZ;Prignitz;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
137;16050202;SPK. OSTPRIGNITZ-RUPPIN;Ostprignitz-Ruppin;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
138;16052500;KSK Teltow-Fläming;Teltow-Fläming;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
139;16060122;Volks- und Raiffeisenbank Prignitz eG;Prignitz;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
140;16061938;Raiffeisenbank Ostprignitz-Ruppin eG;Ostprignitz-Ruppin;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
141;16062008;Volksbank Teltow-Fläming eG;Teltow;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
142;16062073;Brandenburger Bank Volksbank-Raiffeisenbank eG;Brandenburg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
143;16091994;Volksbank Rathenow eG;Rathenow;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
144;17052000;SPARKASSE BARNIM;Barmin;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
145;17052302;STADTSPARKASSE SCHWEDT;Schwedt;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
146;17054040;KSK MÄRKISCH-ODERLAND;Strausberg;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
147;17055050;SPARKASSE ODER-SPREE;Frankfurt (Oder);Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
148;17056060;SPARKASSE UCKERMARK;Prenzlau;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
149;17062428;Raiffeisen-Volksbank Oder-Spree eG;Oder-Spree ;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
150;17092404;Volks- und Raiffeisenbank Fürstenw. Seelow Wriezen eG;Fürstenwalde ;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
151;18050000;SPARKASSE SPREE-NEIßE;Cottbus;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
152;18051000;Sparkasse Elbe-Elster;Finsterwalde;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
153;18055000;Sparkasse Niederlausitz;Senftenberg Niederlausitz;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
154;18062638;Raiffeisenbank Bad Liebenwerda eG;Bad Liebenwerda;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
155;18062678;NL Bank Volks- und Raiffeisenbank eG;Herzberg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
156;18062758;Volks- und Raiffeisenbank Forst eG;Forst;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
157;18092684;Spreewaldbank eG Volksbank-Raiffeisenbank;Lübben;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
158;18092744;Volksbank Spremberg-Bad Muskau eG;Bad Muskau;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
159;20010020;Postbank (Giro);Hamburg;eigenes Rechenzentrum;VÖB;;;2.2;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;HBCI 2.2 Erweiterung PIN/TAN V1.01;04.07.2005;;;;;
160;20010111;SEB AG;Hamburg;eigenes Rechenzentrum;BdB;;193.243.184.115;2.0.1;;ja;;;;;;;;;;;;19.09.2005;;;;;
161;20030300;Conrad Hinrich Donner  Bank;Hamburg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
162;20030400;Marcard,Stein & Co GmbH;Hamburg;BV Zahlungssysteme GmbH;BDB;marcard.hbciservice.de;nicht unterstützt;3.0;;;;ja;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V3.0;27.09.2006;;;;;
163;20030600;Sydbank A/S;Hamburg;BV Zahlungssysteme GmbH;BdB;sydbank.hbciservice.de;;3.0;;ja;;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V3.0;02.03.2007;;;;;
164;20050550;Hamburger Sparkasse;Hamburg;eigenes Rechenzentrum;DSGV;online-banking.haspa.de;94.126.73.19;2.2;;ja;;;;;;;;;;https://ssl2.haspa.de/OnlineBankingFinTS/pintan   ;FinTS V3.0;24.02.2009;;;;;
165;20069111;Norderstedter Bank eG;Norderstedt;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
166;20069125;Raiffeisenbank Kaltenkirchen eG;Kaltenkirchen;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
167;20069130;Raiffeisen- und Volksbank Bad Bramstedt eG;Bad Bramstedt;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
168;20069140;Raiffeisenbank Quickborn eG;Quickborn;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
169;20069144;Raiffeisenbank Seestermühe eG;Seestermühe;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
170;20069177;Raiffeisenbank Südstormarn eG;Südstormarn;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
171;20069232;Raiffeisenbank Struvenhütten eG;Struvenhütten;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
172;20069641;Raiffeisenbank Owschlag eG;Owschlag;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
173;20069780;Volksbank Ahlerstedt eG;Ahlerstedt;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
174;20069782;Volksbank Geest eG;Geest;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
175;20069786;Volksbank Kehdingen eG;Kehdingen;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
176;20069800;Spar- und Kreditbank eG;Hammah;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
177;20069812;Volksbank Fredenbeck eG;Fredenbeck;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
178;20069815;Volksbank Oldendorf eG;Oldendorf;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
179;20069836;Raiffeisenbank Krummesse eG;Krummesse;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
180;20069861;Raiffeisenbank Ratzeburg eG;Ratzeburg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
181;20069882;Raiffeisenbank Travemünde eG;Travemünde;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
182;20069965;Volksbank Winsener Marsch eG;Winsener Marsch;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
183;20069989;Volksbank Wulfsen eG;Wulfsen;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
184;20090400;Deutsche Genossenschafts-Hypothekenbank AG;Hamburg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
185;20090700;EDEKABANK AG;Hamburg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
186;20190003;Hamburger Bank von 1861 Volksbank eG;Hamburg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
187;20190003;Hamburger Bank v. 1861;Hamburg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;16.03.2009;;;;;
188;20190109;Volksbank Stormarn eG;Stormarn;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
189;20190301;Vierländer Volksbank eG;Hamburg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
190;20190800;MKB Mittelstandskreditbank Aktiengesellschaft;Hamburg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
191;20690500;Sparda-Bank Hamburg eG;Hamburg;Sparda-Datenverarbeitung eG;BVR;;;2.2;;;;;;;;;;;;https://www.bankingonline.de/hbci/pintan/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;27.04.2007;;;;;
192;20750000;Sparkasse Harburg-Buxtehude;Harburg-Buxtehude;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
193;21010111;SEB AG;Kiel;eigenes Rechenzentrum;BdB;;193.243.184.115;2.0.1;;ja;;;;;;;;;;;;19.09.2005;;;;;
194;21010228;Bank Companie Nord AG;Kiel;BV Zahlungssysteme GmbH;;;;;;;;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V3.0;26.02.2007;;;;;
195;21020600;Sydbank A/S;Kiel;BV Zahlungssysteme GmbH;BdB;sydbank.hbciservice.de;;3.0;;ja;;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V3.0;02.03.2007;;;;;
196;21050000;HSH Nordbank AG;Hamburg-Kiel;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
197;21050170;Förde Sparkasse;Kiel;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;25.06.2006;;;;;
198;21051275;Bordesholmer Sparkasse;Bordesholm;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
199;21060237;Ev. Darlehnsgenossenschaft eG;Kiel;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
200;21064045;Raiffeisenbank Im Kreis Plön eG;Plön;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
201;21090007;Kieler Volksbank eG;Kiel;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
202;21090801;Beamtenbank zu Kiel eG;Kiel;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
203;21092023;Eckernförder Bank eG Volksbank-Raiffeisenbank;Eckernförde;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
204;21210111;SEB AG;Neumünster, Holst;eigenes Rechenzentrum;BdB;;193.243.184.115;2.0.1;;ja;;;;;;;;;;;;19.09.2005;;;;;
